Name,8_with_prob,9_with_prob,10_with_prob,11_with_prob,12_with_prob,13_with_prob,14_with_prob,15_with_prob,16_with_prob,17_with_prob,18_with_prob,19_with_prob,20_with_prob,21_with_prob,22_with_prob,23_with_prob,24_with_prob,25_with_prob,26_with_prob,27_with_prob,28_with_prob,29_with_prob,30_with_prob,31_with_prob,32_with_prob,33_with_prob,34_with_prob,35_with_prob,36_with_prob,37_with_prob,38_with_prob
Diogo J.,2.24738666666667,2.41279166666667,2.44432166666667,2.24609166666667,2.37724666666667,2.10731166666667,2.40761666666667,2.32779666666667,2.25882166666667,2.38119166666667,2.29063666666667,2.27355166666667,2.34908666666667,2.35507166666667,2.27734666666667,2.17780666666667,2.33642166666667,2.28887166666667,2.29765666666667,2.42552666666667,2.15532166666667,2.27191666666667,2.28379666666667,2.25974666666667,2.25283666666667,2.28618666666667,2.35081166666667,2.24913666666667,2.32591666666667,2.20941166666667,2.33903166666667
Gakpo,2.79123333333333,2.94365333333333,3.14584833333333,2.74510833333333,2.80133833333333,2.71095333333333,3.12125833333333,2.94074333333333,2.82692333333333,2.91299833333333,2.78609333333333,2.88690333333333,2.93596333333333,2.88214333333333,2.80380833333333,2.77841333333333,2.88918333333333,2.76246833333333,2.89806333333333,2.90591833333333,2.75280833333333,2.92374833333333,2.93710333333333,2.81973833333333,2.71423333333333,2.85490833333333,3.02533833333333,2.83616833333333,2.81279333333333,2.88053333333333,2.92681833333333
Luis Díaz,2.91444,3.10871,3.147615,2.903015,3.06485,2.731775,3.102325,3.003835,2.918725,3.06972,2.957985,2.936905,3.03011,3.03749,2.941585,2.818765,3.014475,2.95581,2.966645,3.12443,2.791015,2.93489,2.94954,2.919865,2.91134,2.952495,3.032235,2.906775,3.00152,2.85776,3.0177
Mac Allister,3.56502,3.78301,3.82695,3.550695,3.733475,3.35729,3.7758,3.664565,3.56844,3.738975,3.612775,3.58897,3.694235,3.702575,3.594255,3.45554,3.67658,3.61032,3.62256,3.800765,3.4242,3.58669,3.60324,3.569725,3.5601,3.606575,3.696635,3.55494,3.661945,3.49958,3.680225
Robertson,2.023045,2.60671,2.68512,2.063385,2.39693,1.69318,2.45465,2.12385,2.38574,2.218715,2.289065,2.652925,2.361425,2.422965,2.11335,1.93384,2.682535,2.193915,2.58134,2.41304,1.815685,2.21974,2.107625,2.55263,2.01077,2.42421,2.507065,2.05834,2.132055,2.05983,2.53034
Salah,7.42985833333333,7.73533833333333,7.80443333333333,7.37001833333333,7.65744333333333,7.06588833333333,7.72399333333333,7.54907333333333,7.39791833333333,7.66608833333333,7.46763833333333,7.43020333333333,7.59573833333333,7.60884833333333,7.43851333333333,7.22037833333333,7.56797333333333,7.46377833333333,7.48302833333333,7.76325333333333,7.17109833333333,7.42661833333333,7.45264333333333,7.39993833333333,7.38480333333333,7.45788833333333,7.59951333333333,7.37668833333333,7.54495833333333,7.28963833333333,7.57369833333333
Szoboszlai,3.14764333333333,3.29823833333333,3.33031833333333,3.12864333333333,3.26207833333333,2.98745833333333,3.29297333333333,3.21176833333333,3.14159833333333,3.26609333333333,3.17396333333333,3.15658333333333,3.23343333333333,3.23951833333333,3.16044333333333,3.05917833333333,3.22054333333333,3.17216833333333,3.18110833333333,3.31119833333333,3.03629833333333,3.15492333333333,3.16700333333333,3.14253833333333,3.13550833333333,3.16943833333333,3.23518333333333,3.13174333333333,3.20985833333333,3.09132833333333,3.22320333333333
Virgil,3.13585333333333,3.62281333333333,3.68939333333333,3.16147833333333,3.44468833333333,2.84713833333333,3.49369833333333,3.21281833333333,3.43519333333333,3.29336833333333,3.35310333333333,3.66205333333333,3.41454333333333,3.46679333333333,3.20390333333333,3.05148333333333,3.68719833333333,3.27231333333333,3.60127333333333,3.45836833333333,2.95115333333333,3.29423833333333,3.19904333333333,3.57689333333333,3.11680333333333,3.46785333333333,3.53820333333333,3.15719333333333,3.21978833333333,3.15845833333333,3.55796833333333
Adebayo,2.34433666666667,2.41115166666667,2.39294166666667,2.43265666666667,2.27362666666667,2.37455166666667,2.30823166666667,2.32518166666667,2.30130166666667,2.39409666666667,2.43271166666667,2.43613666666667,2.33789166666667,2.39751166666667,2.43352666666667,2.28410666666667,2.34932166666667,2.41623166666667,2.30022166666667,2.40838666666667,2.35447666666667,2.58329666666667,2.31468666666667,2.31967166666667,2.42775166666667,2.27126666666667,2.33611666666667,2.34600666666667,2.43822666666667,2.36111166666667,2.56565166666667
Andersen,1.046295,1.179105,1.012155,0.989595,0.988965,1.18438,1.075535,1.120505,0.896755,1.183795,1.154705,1.042415,1.03745,1.29249,1.034745,0.93631,1.24508,1.087255,0.826,1.13474,1.1662,1.307705,0.99239,0.952605,1.28275,0.838855,1.17149,1.17694,1.270645,1.01145,1.19877
Bell,1.48341333333333,1.60895833333333,1.45114333333333,1.42981833333333,1.42922333333333,1.61394833333333,1.51105333333333,1.55356833333333,1.34205833333333,1.61339333333333,1.58589833333333,1.47974833333333,1.47505333333333,1.71613833333333,1.47249833333333,1.37944333333333,1.67132833333333,1.52213333333333,1.27517333333333,1.56702333333333,1.59676333333333,1.73052333333333,1.43245833333333,1.39484833333333,1.70693333333333,1.28732333333333,1.60175833333333,1.60691333333333,1.69549333333333,1.45047833333333,1.62754833333333
Burke,1.811555,1.94354,1.77763,1.75521,1.754585,1.948785,1.840615,1.885305,1.66295,1.9482,1.919295,1.8077,1.80277,2.05622,1.80008,1.702255,2.009105,1.85226,1.592635,1.89945,1.930715,2.07134,1.75799,1.71845,2.04654,1.60541,1.93597,1.941385,2.03451,1.77693,1.963085
Morris,4.03297,4.13172,4.1048,4.163505,3.928455,4.077625,3.979605,4.004655,3.96936,4.10651,4.16358,4.168645,4.02344,4.111555,4.16479,3.94395,4.040335,4.139225,3.96777,4.12763,4.047955,4.386145,3.989145,3.996515,4.156255,3.924975,4.02082,4.035435,4.171735,4.05776,4.360065
Ogbene,1.837815,1.886565,1.87328,1.90226,1.78622,1.85986,1.81147,1.823835,1.80641,1.87412,1.902295,1.9048,1.83311,1.87661,1.902895,1.793865,1.84145,1.890275,1.805625,1.88455,1.845215,2.012175,1.81618,1.819815,1.89868,1.7845,1.83182,1.83903,1.90632,1.850055,1.9993
