Name,7_with_prob,8_with_prob,9_with_prob,10_with_prob,11_with_prob,12_with_prob,13_with_prob,14_with_prob,15_with_prob,16_with_prob,17_with_prob,18_with_prob,19_with_prob,20_with_prob,21_with_prob,22_with_prob,23_with_prob,24_with_prob,25_with_prob,26_with_prob,27_with_prob,28_with_prob,29_with_prob,30_with_prob,31_with_prob,32_with_prob,33_with_prob,34_with_prob,35_with_prob,36_with_prob,37_with_prob,38_with_prob
Martinez,3.42941666666667,3.57207166666667,3.56258666666667,3.42552166666667,3.57441166666667,3.59493666666667,3.42122166666667,3.42570666666667,3.37515666666667,3.34092166666667,3.44092166666667,3.42320666666667,3.40573666666667,3.41206666666667,3.62264666666667,3.38725166666667,3.49276166666667,3.52376666666667,3.54022166666667,3.65405666666667,3.54591666666667,3.42524166666667,3.27266166666667,3.37960166666667,3.15707166666667,3.36664666666667,3.38455166666667,3.50413166666667,3.54013666666667,3.51278166666667,3.29987666666667,3.45572666666667
Nakamba,2.65817666666667,1.79778666666667,1.83556666666667,1.75360166666667,1.77971666666667,1.77007166666667,1.78272166666667,1.78373666666667,1.78440666666667,1.73308666666667,1.80884666666667,1.80657666666667,1.79850166666667,1.77936666666667,1.77792666666667,1.78181166666667,1.74956666666667,1.77269166666667,1.81875166666667,1.73131666666667,1.78430166666667,1.77234166666667,1.84269166666667,1.77187666666667,1.74161666666667,1.85489666666667,1.71487666666667,1.81725666666667,1.79556666666667,1.83073666666667,1.76866666666667,1.82877166666667
Watkins,8.54252166666667,8.35372166666667,8.53487166666667,8.49529166666667,8.50784666666667,8.85210166666667,8.29290666666667,8.46984666666667,8.26308166666667,8.31628666666667,8.27852666666667,8.37008166666667,8.20141166666667,8.48109666666667,8.53634666666667,8.55588166666667,8.56352166666667,8.51916666666667,8.69875666666667,8.89141666666667,8.25077166666667,8.35897666666667,8.39634666666667,8.54125666666667,8.19616666666667,8.34066166666667,8.30401666666667,8.54483666666667,8.34461166666667,8.34685166666667,8.55576666666667,8.38156666666667
Semenyo,1.15324333333333,1.23008333333333,1.23251333333333,1.21173333333333,1.11332833333333,1.23756333333333,1.24019833333333,1.21884333333333,1.17735833333333,1.11513833333333,1.21663333333333,1.22097333333333,1.33986833333333,1.14673833333333,1.23752333333333,1.18246333333333,1.35344333333333,1.28690833333333,1.12320833333333,1.13643833333333,1.21047333333333,1.17339333333333,1.17083833333333,1.24180833333333,1.19280833333333,1.13218833333333,1.22488333333333,1.20695833333333,1.23818833333333,1.15057333333333,1.16323333333333,1.13926833333333
Solanke,3.53438166666667,3.72123166666667,3.72397166666667,3.67505166666667,3.44334666666667,3.73586666666667,3.74207666666667,3.69179166666667,3.59411666666667,3.44761666666667,3.68659666666667,3.69680666666667,3.97675166666667,3.52201666666667,3.73577166666667,3.60613166666667,4.00871666666667,3.85205166666667,3.46661166666667,3.49776166666667,3.67208666666667,3.58477666666667,3.57876666666667,3.74586166666667,3.63049166666667,3.48775166666667,3.70600666666667,3.66380666666667,3.73734666666667,3.53105166666667,3.56085166666667,3.50443166666667
Mbeumo,4.18927833333333,3.84104833333333,4.01530833333333,3.75433333333333,4.03298833333333,3.61436833333333,3.91648833333333,3.93164333333333,3.87249333333333,3.99669333333333,3.91589333333333,0.833333333333333,4.02094833333333,3.84781833333333,4.24819833333333,3.84517833333333,3.62442833333333,3.97999833333333,3.88978333333333,3.82691333333333,3.88780333333333,3.67296333333333,3.87961833333333,4.11194333333333,3.90172333333333,3.74117833333333,3.84981333333333,3.82033833333333,3.87608833333333,4.16897333333333,4.05556333333333,4.04265333333333
Pinnock,2.66938333333333,2.32569333333333,2.93756833333333,2.27875833333333,2.80500333333333,2.02767333333333,2.58537833333333,2.84699333333333,2.35636333333333,2.43749833333333,2.61233333333333,0.833333333333333,2.80134333333333,2.67191333333333,2.93988333333333,2.34276833333333,2.16166333333333,2.69224833333333,2.33747333333333,2.37885833333333,2.42809833333333,2.26742333333333,2.91106833333333,2.52241333333333,2.42297833333333,2.38019333333333,2.82129333333333,2.38337833333333,2.52332833333333,2.73359333333333,2.70522833333333,2.65014833333333
Wissa,2.72858333333333,2.49487333333333,2.71878333333333,2.55239333333333,2.76142833333333,2.54398833333333,2.58808833333333,2.73004333333333,2.61232833333333,2.78414833333333,2.73511333333333,0.833333333333333,2.76649333333333,2.63985833333333,3.04417333333333,2.56954833333333,2.54589333333333,2.62488833333333,2.77799833333333,2.65157833333333,2.61054833333333,2.57835833333333,2.71589333333333,2.74897333333333,2.77953333333333,2.70781833333333,2.63074833333333,2.53613333333333,2.76260333333333,3.01299833333333,2.70986333333333,2.77809333333333
Estupiñan,2.01679166666667,2.00799666666667,1.75293166666667,2.38754666666667,2.19177166666667,2.46920666666667,2.35286666666667,1.96405166666667,2.33944166666667,2.57747166666667,1.95350166666667,2.33012166666667,2.11869666666667,2.05725666666667,2.45063166666667,2.06146166666667,2.36217666666667,2.02365166666667,2.11185666666667,2.51427666666667,2.43123166666667,2.57962666666667,1.85502666666667,1.73026666666667,2.17025166666667,2.24954666666667,2.55279166666667,2.10310666666667,2.36114166666667,2.27464666666667,1.92476666666667,2.19091666666667
Ferguson,2.302475,2.409965,2.09002,2.63158,2.370885,2.23361,2.347355,2.152035,2.20932,2.325265,2.179065,2.243095,2.22444,2.255295,2.37494,2.135105,2.280025,2.169895,2.39332,2.39716,2.504975,2.664035,2.14527,2.143285,2.15802,2.1892,2.322255,2.212585,2.31598,2.342265,2.11364,2.3567
Gross,3.65763666666667,3.77005166666667,3.56530166666667,3.95967666666667,3.78147666666667,3.76548666666667,3.98320166666667,3.70739166666667,3.91979666666667,3.86618166666667,3.65788166666667,3.76427166666667,3.85239166666667,3.75155166666667,3.86961166666667,3.74755166666667,3.80021166666667,3.76266666666667,3.85485666666667,3.96647666666667,3.88508166666667,4.00788166666667,3.62835166666667,3.62223166666667,3.80374166666667,3.80605666666667,3.78362166666667,3.78860166666667,3.89067666666667,3.80569166666667,3.68541666666667,3.92497666666667
