Name,5_with_prob,6_with_prob,7_with_prob,8_with_prob,9_with_prob,10_with_prob,11_with_prob,12_with_prob,13_with_prob,14_with_prob,15_with_prob,16_with_prob,17_with_prob,18_with_prob,19_with_prob,20_with_prob,21_with_prob,22_with_prob,23_with_prob,24_with_prob,25_with_prob,26_with_prob,27_with_prob,28_with_prob,29_with_prob,30_with_prob,31_with_prob,32_with_prob,33_with_prob,34_with_prob,35_with_prob,36_with_prob,37_with_prob,38_with_prob
Virgil,-0.333333333333333,1.34334166666667,0.935156666666667,0.969186666666667,1.45614666666667,1.52272666666667,0.994811666666667,1.27802166666667,0.680471666666667,1.32703166666667,1.04615166666667,1.26852666666667,1.12670166666667,1.18643666666667,1.49538666666667,1.24787666666667,1.30012666666667,1.03723666666667,0.884816666666667,1.52053166666667,1.10564666666667,1.43460666666667,1.29170166666667,0.784486666666667,1.12757166666667,1.03237666666667,1.41022666666667,0.950136666666667,1.30118666666667,1.37153666666667,0.990526666666667,1.05312166666667,0.991791666666667,1.39130166666667
Adebayo,2.15187833333333,2.08743333333333,3.32601333333333,2.01100333333333,2.07781833333333,2.05960833333333,2.09932333333333,1.94029333333333,2.04121833333333,1.97489833333333,1.99184833333333,1.96796833333333,2.06076333333333,2.09937833333333,2.10280333333333,2.00455833333333,2.06417833333333,2.10019333333333,1.95077333333333,2.01598833333333,2.08289833333333,1.96688833333333,2.07505333333333,2.02114333333333,2.24996333333333,1.98135333333333,1.98633833333333,2.09441833333333,1.93793333333333,2.00278333333333,2.01267333333333,2.10489333333333,2.02777833333333,2.23231833333333
Andersen,2.76668833333333,2.79484833333333,3.72357833333333,2.62962833333333,2.76243833333333,2.59548833333333,2.57292833333333,2.57229833333333,2.76771333333333,2.65886833333333,2.70383833333333,2.48008833333333,2.76712833333333,2.73803833333333,2.62574833333333,2.62078333333333,2.87582333333333,2.61807833333333,2.51964333333333,2.82841333333333,2.67058833333333,2.40933333333333,2.71807333333333,2.74953333333333,2.89103833333333,2.57572333333333,2.53593833333333,2.86608333333333,2.42218833333333,2.75482333333333,2.76027333333333,2.85397833333333,2.59478333333333,2.78210333333333
Bell,1.66464166666667,1.70084166666667,2.72789166666667,1.56674666666667,1.69229166666667,1.53447666666667,1.51315166666667,1.51255666666667,1.69728166666667,1.59438666666667,1.63690166666667,1.42539166666667,1.69672666666667,1.66923166666667,1.56308166666667,1.55838666666667,1.79947166666667,1.55583166666667,1.46277666666667,1.75466166666667,1.60546666666667,1.35850666666667,1.65035666666667,1.68009666666667,1.81385666666667,1.51579166666667,1.47818166666667,1.79026666666667,1.37065666666667,1.68509166666667,1.69024666666667,1.77882666666667,1.53381166666667,1.71088166666667
Burke,1.65509166666667,1.66712166666667,2.59645666666667,1.47822166666667,1.61020666666667,1.44429666666667,1.42187666666667,1.42125166666667,1.61545166666667,1.50728166666667,1.55197166666667,1.32961666666667,1.61486666666667,1.58596166666667,1.47436666666667,1.46943666666667,1.72288666666667,1.46674666666667,1.36892166666667,1.67577166666667,1.51892666666667,1.25930166666667,1.56611666666667,1.59738166666667,1.73800666666667,1.42465666666667,1.38511666666667,1.71320666666667,1.27207666666667,1.60263666666667,1.60805166666667,1.70117666666667,1.44359666666667,1.62975166666667
Morris,3.260825,3.14921,4.749025,3.03297,3.13172,3.1048,3.163505,2.928455,3.077625,2.979605,3.004655,2.96936,3.10651,3.16358,3.168645,3.02344,3.111555,3.16479,2.94395,3.040335,3.139225,2.96777,3.12763,3.047955,3.386145,2.989145,2.996515,3.156255,2.924975,3.02082,3.035435,3.171735,3.05776,3.360065
Ogbene,1.37509,1.348455,2.24157,1.337815,1.386565,1.37328,1.40226,1.28622,1.35986,1.31147,1.323835,1.30641,1.37412,1.402295,1.4048,1.33311,1.37661,1.402895,1.293865,1.34145,1.390275,1.305625,1.38455,1.345215,1.512175,1.31618,1.319815,1.39868,1.2845,1.33182,1.33903,1.40632,1.350055,1.4993
Woodrow,0.877718333333333,0.855453333333333,1.38738833333333,0.839438333333333,0.868503333333333,0.860583333333333,0.877863333333333,0.808678333333333,0.852583333333333,0.823733333333333,0.831103333333333,0.820718333333333,0.861088333333333,0.877883333333333,0.879373333333333,0.836633333333333,0.862568333333334,0.878238333333333,0.813238333333333,0.841608333333333,0.870713333333333,0.820248333333333,0.867303333333333,0.843848333333333,0.943393333333333,0.826538333333333,0.828708333333333,0.875728333333333,0.807653333333333,0.835863333333333,0.840163333333333,0.880283333333333,0.846738333333333,0.935718333333333
Aké,3.17477833333333,3.77701833333333,3.53515333333333,3.10103833333333,3.28748333333333,3.19341833333333,3.79706333333333,3.13099833333333,3.19470833333333,3.31120833333333,3.24105833333333,3.24451333333333,3.59494333333333,1.83333333333333,3.39636833333333,3.71966833333333,3.08521833333333,3.84583333333333,3.37128833333333,3.77219333333333,3.29303833333333,3.59373333333333,3.39537333333333,2.85855833333333,3.21520333333333,3.46369333333333,3.49294333333333,3.55758833333333,3.74755333333333,3.20044833333333,3.58409833333333,3.69802333333333,3.67541333333333,3.70199833333333
J.Alvarez,5.85051666666667,6.16167166666667,5.77757166666667,5.71383666666667,5.88157666666667,5.63402666666667,5.87264166666667,5.68257166666667,5.88023166666667,5.74350166666667,5.81874166666667,5.66832166666667,5.79027666666667,4.16666666666667,5.86674166666667,5.75121666666667,5.65025666666667,5.82835166666667,5.68760666666667,5.88885666666667,5.73352166666667,5.82053666666667,5.85480166666667,5.67520666666667,5.73508166666667,5.71384166666667,5.84265666666667,5.75919666666667,5.83821666666667,5.69759666666667,5.84694166666667,5.87015166666667,5.97958666666667,5.86571666666667
De Bruyne,0,0,0,0,0,0,0,0,0,0,0,0.02421,1.22435,0,1.454935,1.522905,1.504545,1.65456,1.60274,1.737795,1.59018,1.67489,1.70336,1.45211,1.58245,1.604665,1.604365,1.56999,1.612315,1.568655,1.75168,1.65741,1.670245,1.66349
Rúben,2.11782,2.607915,2.40825,2.06649,2.213385,2.13944,2.613975,2.09037,2.140455,2.232035,2.176895,2.17961,2.455085,1,2.29898,2.55313,2.054385,2.65231,2.279265,2.594425,2.217755,2.454135,2.2982,1.876205,2.156565,2.35191,2.3749,2.42572,2.575055,2.14497,2.44656,2.536115,2.518345,2.53924
