Name,4_with_prob,5_with_prob,6_with_prob,7_with_prob,8_with_prob,9_with_prob,10_with_prob,11_with_prob,12_with_prob,13_with_prob,14_with_prob,15_with_prob,16_with_prob,17_with_prob,18_with_prob,19_with_prob,20_with_prob,21_with_prob,22_with_prob,23_with_prob,24_with_prob,25_with_prob,26_with_prob,27_with_prob,28_with_prob,29_with_prob,30_with_prob,31_with_prob,32_with_prob,33_with_prob,34_with_prob,35_with_prob,36_with_prob,37_with_prob,38_with_prob
Lerma,2.49352,2.49352,2.66401,2.555395,2.706285,2.520465,2.61865,2.57821,2.685735,2.557005,2.559355,2.734925,2.58185,2.449835,2.58612,2.53339,2.658285,2.504275,2.56755,2.575665,2.58114,2.57695,2.62676,2.56589,2.596825,2.63654,2.69557,2.64116,2.48691,2.48331,2.633085,2.637875,2.661335,2.614125,2.59119
Schlupp,2.38061,2.38061,2.547955,2.45033,2.599345,2.418275,2.51235,2.473605,2.57663,2.453285,2.45554,2.62376,2.47709,2.3506,2.481185,2.430655,2.55033,2.40276,2.46339,2.471165,2.47641,2.472395,2.52012,2.4618,2.49144,2.529495,2.586055,2.53392,2.386125,2.382675,2.52618,2.53077,2.55325,2.508015,2.48604
A.Doucoure,4.12604,4.12604,4.0802,4.059485,4.24225,3.78688,3.91051,3.95402,3.92267,4.076295,4.13196,4.035995,3.945925,3.941165,3.921135,3.792735,3.999555,3.962265,4.03816,4.006905,3.73246,3.957025,3.93702,4.030375,3.91516,3.94708,4.043505,3.847285,4.02009,3.868295,4.15555,4.071345,3.906685,3.92383,3.820965
Onana,2.362775,2.362775,2.37649,2.404555,2.544375,2.322355,2.392125,2.416685,2.39899,2.485695,2.517105,2.462945,2.412115,2.40943,2.39812,2.325655,2.44238,2.421335,2.46417,2.44653,2.29164,2.41838,2.40709,2.459775,2.39475,2.412765,2.467185,2.356445,2.45397,2.3683,2.53042,2.482895,2.38997,2.399645,2.34159
Pickford,2.127835,2.127835,2.215445,2.201955,2.27082,2.180085,2.06803,2.205365,2.22842,2.288025,2.332395,2.168425,2.30237,2.29143,2.19819,2.15783,2.33035,2.20809,2.30244,2.20171,1.966765,2.32444,2.278405,2.32204,2.18462,2.091875,2.202115,2.167175,2.190165,2.15175,2.40217,2.150375,2.30743,2.199925,2.16606
Leno,2.91003166666667,2.91003166666667,2.93789166666667,3.01574166666667,2.90789666666667,2.90606666666667,2.99051166666667,3.00064166666667,2.85480666666667,2.86767666666667,2.88700666666667,3.12080166666667,3.03644666666667,2.87341666666667,2.89762166666667,2.91020166666667,2.83200666666667,2.85718166666667,2.99030666666667,3.00422166666667,2.98253166666667,2.91649166666667,2.89178666666667,2.91362166666667,3.04519166666667,2.90977166666667,2.97204166666667,3.04735166666667,2.87473666666667,2.76904666666667,2.79415166666667,3.03897166666667,2.92423166666667,2.86358166666667,3.02107166666667
Lukić,1.152655,1.152655,1.266,1.306825,1.30406,1.318615,1.322665,1.358175,1.303195,1.34468,1.28439,1.37838,1.346465,1.29979,1.343845,1.349815,1.32919,1.305145,1.36829,1.323725,1.388675,1.329105,1.317095,1.327,1.33861,1.340485,1.341085,1.372365,1.3479,1.31591,1.32523,1.327765,1.328625,1.28588,1.314935
Alexander-Arnold,4.31452,4.06452,4.70997,4.226035,4.30148,5.037695,5.140565,4.324875,4.76247,3.83919,4.8382,4.404205,4.747795,4.528665,4.62096,5.098325,4.71589,4.796625,4.39043,4.15492,5.13717,4.49613,5.00441,4.783605,3.999905,4.53001,4.38292,4.96674,4.25585,4.79826,4.906965,4.318255,4.41497,4.32021,4.9375
A.Becker,4.46648,4.46648,4.45686,4.31348,4.406345,4.40612,4.54963,4.43995,4.25813,4.045565,4.48967,4.38604,4.34848,4.417485,4.232035,4.421425,4.279025,4.31803,4.43409,4.27629,4.304195,4.33346,4.31784,4.46885,4.26676,4.517775,4.32179,4.315495,4.297775,4.45964,4.434175,4.1628,4.31756,4.257115,4.271265
Darwin,4.93418333333333,4.93418333333333,5.07231333333333,4.88737333333333,4.90751833333333,5.05049833333333,5.29236333333333,4.81299833333333,4.88025833333333,4.77213833333333,5.26294833333333,5.04701333333333,4.91086333333333,5.01382333333333,4.86201833333333,4.98260833333333,5.04129833333333,4.97691833333333,4.88321333333333,4.85283333333333,4.98533833333333,4.83376333333333,4.99595833333333,5.00535833333333,4.82220333333333,5.02668333333333,5.04265833333333,4.90226833333333,4.77606333333333,4.94433833333333,5.14820833333333,4.92192333333333,4.89395833333333,4.97499333333333,5.03035333333333
Diogo J.,4.35108833333333,4.35108833333333,4.41782833333333,4.35920833333333,4.41405333333333,4.57945833333333,4.61098833333333,4.41275833333333,4.54391333333333,4.27397833333333,4.57428333333333,4.49446333333333,4.42548833333333,4.54785833333333,4.45730333333333,4.44021833333333,4.51575333333333,4.52173833333333,4.44401333333333,4.34447333333333,4.50308833333333,4.45553833333333,4.46432333333333,4.59219333333333,4.32198833333333,4.43858333333333,4.45046333333333,4.42641333333333,4.41950333333333,4.45285333333333,4.51747833333333,4.41580333333333,4.49258333333333,4.37607833333333,4.50569833333333
Gakpo,2.03171666666667,2.03171666666667,2.18401166666667,2.06622166666667,2.12456666666667,2.27698666666667,2.47918166666667,2.07844166666667,2.13467166666667,2.04428666666667,2.45459166666667,2.27407666666667,2.16025666666667,2.24633166666667,2.11942666666667,2.22023666666667,2.26929666666667,2.21547666666667,2.13714166666667,2.11174666666667,2.22251666666667,2.09580166666667,2.23139666666667,2.23925166666667,2.08614166666667,2.25708166666667,2.27043666666667,2.15307166666667,2.04756666666667,2.18824166666667,2.35867166666667,2.16950166666667,2.14612666666667,2.21386666666667,2.26015166666667
Luis Díaz,3.67677833333333,3.67677833333333,3.74539833333333,3.68885333333333,3.74777333333333,3.94204333333333,3.98094833333333,3.73634833333333,3.89818333333333,3.56510833333333,3.93565833333333,3.83716833333333,3.75205833333333,3.90305333333333,3.79131833333333,3.77023833333333,3.86344333333333,3.87082333333333,3.77491833333333,3.65209833333333,3.84780833333333,3.78914333333333,3.79997833333333,3.95776333333333,3.62434833333333,3.76822333333333,3.78287333333333,3.75319833333333,3.74467333333333,3.78582833333333,3.86556833333333,3.74010833333333,3.83485333333333,3.69109333333333,3.85103333333333
