Name,6_with_prob,7_with_prob,8_with_prob,9_with_prob,10_with_prob,11_with_prob,12_with_prob,13_with_prob,14_with_prob,15_with_prob,16_with_prob,17_with_prob,18_with_prob,19_with_prob,20_with_prob,21_with_prob,22_with_prob,23_with_prob,24_with_prob,25_with_prob,26_with_prob,27_with_prob,28_with_prob,29_with_prob,30_with_prob,31_with_prob,32_with_prob,33_with_prob,34_with_prob,35_with_prob,36_with_prob,37_with_prob,38_with_prob
C.Doucouré,2.476415,2.390485,2.54443,2.38095,2.470685,2.43373,2.532,2.414345,2.416495,2.57696,2.43705,2.316395,2.440955,2.39276,2.506915,2.36615,2.42398,2.4314,2.436405,2.432575,2.4781,2.422465,2.45074,2.48704,2.54099,2.491265,2.35028,2.34699,2.48388,2.488255,2.5097,2.466555,2.44559
Edouard,5.56274333333333,5.17934833333333,5.57431333333333,5.18113833333333,5.25865833333333,5.32708833333333,5.37949333333333,5.19615833333333,5.28024333333333,5.36601333333333,5.37232333333333,5.16461833333333,5.37344333333333,5.20800333333333,5.24807833333333,5.22691333333333,5.26507333333333,5.25165333333333,5.25035833333333,5.36110833333333,5.32919333333333,5.22049333333333,5.33739333333333,5.37238833333333,5.34464333333333,5.32269333333333,5.20326833333333,5.20187833333333,5.36025333333333,5.45491333333333,5.35118333333333,5.26080333333333,5.34108333333333
Eze,4.35026,4.1351,4.377325,4.02818,4.198825,4.128545,4.31542,4.091685,4.09577,4.400915,4.134865,3.905425,4.14229,4.05064,4.267715,4.00004,4.11001,4.124115,4.133635,4.12635,4.21292,4.10713,4.160895,4.229925,4.332515,4.237955,3.96986,3.963605,4.223915,4.232235,4.27301,4.190965,4.1511
Guéhi,3.25435,2.908725,3.525515,2.85467,3.058075,3.513385,3.47299,2.99805,2.993635,3.495375,2.95322,2.67444,3.03672,2.895875,3.28961,2.88481,3.425715,2.971665,3.041725,3.134725,3.53927,2.95839,3.45081,3.258575,3.30369,3.31237,2.781525,2.65067,3.40981,3.385885,3.13383,3.29969,3.22165
Lerma,1.99734333333333,1.88872833333333,2.03961833333333,1.85379833333333,1.95198333333333,1.91154333333333,2.01906833333333,1.89033833333333,1.89268833333333,2.06825833333333,1.91518333333333,1.78316833333333,1.91945333333333,1.86672333333333,1.99161833333333,1.83760833333333,1.90088333333333,1.90899833333333,1.91447333333333,1.91028333333333,1.96009333333333,1.89922333333333,1.93015833333333,1.96987333333333,2.02890333333333,1.97449333333333,1.82024333333333,1.81664333333333,1.96641833333333,1.97120833333333,1.99466833333333,1.94745833333333,1.92452333333333
Schlupp,2.71462166666667,2.61699666666667,2.76601166666667,2.58494166666667,2.67901666666667,2.64027166666667,2.74329666666667,2.61995166666667,2.62220666666667,2.79042666666667,2.64375666666667,2.51726666666667,2.64785166666667,2.59732166666667,2.71699666666667,2.56942666666667,2.63005666666667,2.63783166666667,2.64307666666667,2.63906166666667,2.68678666666667,2.62846666666667,2.65810666666667,2.69616166666667,2.75272166666667,2.70058666666667,2.55279166666667,2.54934166666667,2.69284666666667,2.69743666666667,2.71991666666667,2.67468166666667,2.65270666666667
A.Doucoure,4.91353333333333,4.89281833333333,5.07558333333333,4.62021333333333,4.74384333333333,4.78735333333333,4.75600333333333,4.90962833333333,4.96529333333333,4.86932833333333,4.77925833333333,4.77449833333333,4.75446833333333,4.62606833333333,4.83288833333333,4.79559833333333,4.87149333333333,4.84023833333333,4.56579333333333,4.79035833333333,4.77035333333333,4.86370833333333,4.74849333333333,4.78041333333333,4.87683833333333,4.68061833333333,4.85342333333333,4.70162833333333,4.98888333333333,4.90467833333333,4.74001833333333,4.75716333333333,4.65429833333333
Onana,2.37649,2.404555,2.544375,2.322355,2.392125,2.416685,2.39899,2.485695,2.517105,2.462945,2.412115,2.40943,2.39812,2.325655,2.44238,2.421335,2.46417,2.44653,2.29164,2.41838,2.40709,2.459775,2.39475,2.412765,2.467185,2.356445,2.45397,2.3683,2.53042,2.482895,2.38997,2.399645,2.34159
Pickford,2.715445,2.701955,2.77082,2.680085,2.56803,2.705365,2.72842,2.788025,2.832395,2.668425,2.80237,2.79143,2.69819,2.65783,2.83035,2.70809,2.80244,2.70171,2.466765,2.82444,2.778405,2.82204,2.68462,2.591875,2.702115,2.667175,2.690165,2.65175,2.90217,2.650375,2.80743,2.699925,2.66606
Leno,4.43789166666667,4.51574166666667,4.40789666666667,4.40606666666667,4.49051166666667,4.50064166666667,4.35480666666667,4.36767666666667,4.38700666666667,4.62080166666667,4.53644666666667,4.37341666666667,4.39762166666667,4.41020166666667,4.33200666666667,4.35718166666667,4.49030666666667,4.50422166666667,4.48253166666667,4.41649166666667,4.39178666666667,4.41362166666667,4.54519166666667,4.40977166666667,4.47204166666667,4.54735166666667,4.37473666666667,4.26904666666667,4.29415166666667,4.53897166666667,4.42423166666667,4.36358166666667,4.52107166666667
