Name,3_with_prob,4_with_prob,5_with_prob,6_with_prob,7_with_prob,8_with_prob,9_with_prob,10_with_prob,11_with_prob,12_with_prob,13_with_prob,14_with_prob,15_with_prob,16_with_prob,17_with_prob,18_with_prob,19_with_prob,20_with_prob,21_with_prob,22_with_prob,23_with_prob,24_with_prob,25_with_prob,26_with_prob,27_with_prob,28_with_prob,29_with_prob,30_with_prob,31_with_prob,32_with_prob,33_with_prob,34_with_prob,35_with_prob,36_with_prob,37_with_prob,38_with_prob
Pope,2.90070166666667,2.90070166666667,2.90070166666667,3.02901666666667,2.94691166666667,2.80506666666667,3.10285166666667,3.10971666666667,2.87452166666667,2.96079166666667,3.07722166666667,3.06056666666667,3.16117666666667,2.95622666666667,3.13297666666667,3.08310166666667,3.19313166666667,2.93520166666667,2.90935666666667,2.89968166666667,2.96060166666667,3.11209166666667,3.04058166666667,2.91891666666667,2.91387666666667,2.90229666666667,2.99133666666667,3.10006666666667,3.04916666666667,3.07730666666667,2.96031666666667,2.94047166666667,2.95824666666667,3.06451666666667,2.96456666666667,2.97627166666667
Schär,2.68858333333333,2.68858333333333,2.68858333333333,2.44584333333333,3.04483833333333,2.41579833333333,2.80418333333333,2.78789833333333,2.66444833333333,2.80289333333333,2.48276333333333,2.59170833333333,2.59276833333333,2.38419333333333,2.83565833333333,2.43110333333333,3.07395333333333,2.02020833333333,2.17498833333333,2.42742833333333,2.96664833333333,2.79263333333333,3.01935833333333,2.29715833333333,2.91391833333333,2.31025333333333,2.76440833333333,2.91814833333333,2.99288333333333,2.88985333333333,2.50210833333333,2.37670333333333,2.93696333333333,3.04066333333333,2.47684833333333,2.56606833333333
Trippier,2.80743666666667,2.80743666666667,2.80743666666667,2.49808666666667,3.22239666666667,2.46847666666667,2.93769666666667,2.91808666666667,2.76943666666667,2.93614166666667,2.55066666666667,2.68185166666667,2.68312666666667,2.43197166666667,2.97559666666667,2.48846166666667,3.26253666666667,1.99368666666667,2.18006666666667,2.48403166666667,3.13332666666667,2.92378666666667,3.19680166666667,2.32717666666667,3.06983166666667,2.34293666666667,2.88980166666667,3.07492666666667,3.16491666666667,3.04085166666667,2.57395666666667,2.42295666666667,3.09758166666667,3.22245666666667,2.54354166666667,2.65097666666667
Wilson,2.87918166666667,2.87918166666667,2.87918166666667,3.13258166666667,3.10129166666667,3.05056166666667,3.08716666666667,3.02827166666667,2.98530666666667,3.12748666666667,3.01153166666667,3.17315166666667,3.18906666666667,2.96365666666667,3.48142666666667,2.92464666666667,3.51782166666667,2.93381666666667,2.93604166666667,3.12510166666667,3.15104666666667,3.16267666666667,3.19692666666667,2.97394166666667,3.19361166666667,2.94363166666667,3.04575166666667,3.18769666666667,3.21853166666667,3.33944166666667,3.02483166666667,2.87894666666667,3.03511666666667,3.13453166666667,3.20883666666667,2.95034166666667
Awoniyi,5.04627833333333,5.04627833333333,5.04627833333333,4.84275333333333,4.93866333333333,4.96066333333333,5.03988833333333,4.87586333333333,5.04435833333333,4.97071333333333,5.08352333333333,5.09084833333333,5.18214333333333,4.94718333333333,4.94458833333333,5.07453333333333,4.85075833333333,5.05658333333333,4.88833833333333,4.91474333333333,5.02209833333333,5.08225333333333,5.06756333333333,5.02029833333333,5.08217333333333,4.93611333333333,4.86893833333333,4.99165333333333,5.28935333333333,4.89839333333333,5.07202833333333,5.06859333333333,4.87754333333333,5.08759333333333,4.93454333333333,5.02741833333333
Gibbs-White,3.98895,3.98895,3.98895,3.745015,4.087745,3.96112,4.023635,3.84819,4.014925,3.96572,4.007085,4.161045,4.087075,4.050375,4.057365,4.23707,3.905615,4.123335,4.01315,4.015255,4.09216,4.085015,4.079675,3.91831,4.000485,3.990925,3.962085,4.009945,4.15487,3.97582,4.073015,3.992915,3.853755,4.059605,3.99939,3.994865
Osula,1.19439166666667,1.19439166666667,1.19439166666667,1.25625166666667,1.22445666666667,1.29474666666667,1.25434666666667,1.20594666666667,1.25931666666667,1.21558666666667,1.26012166666667,1.24496166666667,1.26258166666667,1.21419166666667,1.19858166666667,1.24267166666667,1.24897666666667,1.18168666666667,1.25788166666667,1.22339166666667,1.25041666666667,1.19397166666667,1.26301666666667,1.21914666666667,1.20870666666667,1.24325166666667,1.18286666666667,1.32924166666667,1.19619666666667,1.21508166666667,1.20021166666667,1.24578166666667,1.18812166666667,1.33808666666667,1.25821166666667,1.21831166666667
Maddison,6.08939166666667,6.08939166666667,6.08939166666667,5.91371666666667,6.06172166666667,5.97469666666667,6.24913166666667,6.00443666666667,6.03489666666667,6.10514666666667,6.05630166666667,5.75527166666667,6.14552166666667,6.15288166666667,6.27859166666667,6.25764166666667,6.02323166666667,6.36239666666667,5.99459166666667,6.19918666666667,6.02597666666667,6.04550166666667,6.13634666666667,5.93320666666667,6.04943666666667,5.92318166666667,6.15571666666667,6.06830166666667,5.98850666666667,6.30949666666667,5.90568666666667,5.83422666666667,6.05675666666667,5.82656166666667,6.13204666666667,6.11786666666667
Pedro Porro,3.81711,3.81711,3.81711,3.28962,3.37219,3.425275,3.769155,3.70885,3.47045,3.72873,3.65059,3.102715,3.838985,3.687565,3.732735,3.90224,3.400305,3.924655,3.38067,3.71864,3.56356,3.46544,3.8354,3.324425,3.742515,3.423605,3.81503,3.880035,3.4223,3.970865,3.283165,3.20993,3.624235,3.078915,3.9686,3.47964
Sarr,3.568355,3.568355,3.568355,3.48892,3.513965,3.489595,3.58057,3.49215,3.503155,3.52854,3.51089,3.402115,3.54313,3.54579,3.591215,3.583645,3.49894,3.6215,3.488595,3.562525,3.49993,3.50699,3.539815,3.46641,3.50841,3.46279,3.546815,3.51523,3.486395,3.60238,3.456465,3.430645,3.511055,3.427875,3.53826,3.53314
Son,3.90868833333333,3.90868833333333,3.90868833333333,3.76489333333333,3.89473333333333,3.80176833333333,4.01923833333333,3.78144333333333,3.81104833333333,3.87931333333333,3.83184833333333,3.53930833333333,3.91854833333333,3.92570333333333,4.04786833333333,4.02750833333333,3.79971333333333,4.12930833333333,3.77187833333333,3.97070333333333,3.80237333333333,3.82135333333333,3.90963333333333,3.71222333333333,3.82517833333333,3.70248333333333,3.92845833333333,3.84350833333333,3.76596333333333,4.07789833333333,3.68547833333333,3.61603333333333,3.83228833333333,3.60858833333333,3.90545833333333,3.89167833333333
Antonio,4.29035833333333,4.29035833333333,4.29035833333333,4.29761833333333,4.36680833333333,4.48106833333333,4.43225333333333,4.49617833333333,4.31267833333333,4.70095833333333,4.43870333333333,4.40629833333333,4.32178833333333,4.57890333333333,4.47912333333333,4.46512833333333,4.32882833333333,4.48954333333333,4.49322833333333,4.48139333333333,4.26382833333333,4.33660333333333,4.45795833333333,4.35204333333333,4.47601333333333,4.44101333333333,4.45405333333333,4.27862333333333,4.36364833333333,4.36600333333333,4.67605333333333,4.37795833333333,4.48831833333333,4.30808833333333,4.45000333333333,4.26050333333333
Areola,4.538485,4.538485,4.538485,4.560555,4.580235,4.548995,4.530225,4.657865,4.59562,4.780795,4.670975,4.70371,4.57851,4.681895,4.54235,4.6676,4.54665,4.585625,4.64066,4.65054,4.565055,4.508745,4.7116,4.531095,4.753505,4.570555,4.58833,4.547755,4.582,4.70957,4.72943,4.60849,4.473085,4.53246,4.582245,4.349015
Bowen,6.15087333333333,6.15087333333333,6.15087333333333,6.10140333333333,6.22569333333333,6.31373833333333,6.10465333333333,6.41176333333333,6.22464333333333,6.45937333333333,6.20150833333333,6.22058333333333,6.17741333333333,6.31817333333333,6.30038833333333,6.36404833333333,6.05692833333333,6.21697333333333,6.28341833333333,6.50794833333333,6.17022833333333,6.22730333333333,6.43099833333333,6.35808833333333,6.19903833333333,6.29643833333333,6.22688833333333,6.08858833333333,6.28058333333333,6.27173833333333,6.40394833333333,6.17926333333333,6.20861833333333,6.11385833333333,6.23790833333333,5.95047833333333
L.Paquetá,3.172905,3.172905,3.172905,3.160385,3.26372,3.361155,3.22092,3.436845,3.30528,3.47032,3.289015,3.30243,3.272075,3.37104,3.358535,3.403295,3.187365,3.29989,3.346605,3.50447,3.26702,3.307155,3.450365,3.399105,3.28728,3.35576,3.30686,3.209625,3.34461,3.338395,3.43135,3.273375,3.294015,3.22739,3.31461,3.11252
Neto,3.57671166666667,3.57671166666667,3.57671166666667,3.47782666666667,3.35331666666667,3.48285666666667,3.53860666666667,3.53154666666667,3.50640666666667,3.50418666666667,3.53358166666667,3.32931166666667,3.51658666666667,3.64398666666667,3.41352666666667,3.44683666666667,3.46044666666667,3.60675666666667,3.43846166666667,3.56945166666667,3.37382666666667,3.56479166666667,3.42352166666667,3.42605666666667,3.35406666666667,3.60064666666667,3.68196666666667,3.36662666666667,3.44236166666667,3.52625666666667,3.62179666666667,3.46253166666667,3.47082166666667,3.24607666666667,3.45727666666667,3.29725666666667
José Sá,3.99832333333333,3.99832333333333,3.99832333333333,4.24068833333333,4.07247833333333,4.12899333333333,4.12227333333333,4.08439333333333,4.18832833333333,4.12181833333333,4.23507833333333,4.08173333333333,4.10883833333333,4.34721333333333,3.97151333333333,4.23499833333333,4.13725833333333,4.20783333333333,4.20805333333333,4.21886833333333,4.06564333333333,4.06409833333333,4.11785833333333,4.11981333333333,4.08298833333333,4.28897833333333,4.19952333333333,4.06310833333333,4.22269333333333,4.25711333333333,4.26875833333333,4.03875333333333,4.12209333333333,3.85764833333333,4.25981333333333,4.09750333333333
Cunha,2.62229,2.62229,2.62229,2.41693,2.41589,2.566175,2.53982,2.59392,2.598725,2.4701,2.68377,2.43554,2.546895,2.80492,2.4936,2.461065,2.41951,2.601655,2.462475,2.570835,2.41495,2.458585,2.428555,2.477085,2.385705,2.780195,2.58698,2.5382,2.5446,2.58071,2.563715,2.443255,2.55582,2.36772,2.512435,2.408285
Diaby,5.65024666666667,5.65024666666667,5.65024666666667,5.57248666666667,5.66077666666667,5.70621166666667,5.74605166666667,5.69047666666667,5.84181666666667,5.82061666666667,5.64306666666667,5.75843166666667,5.52201666666667,5.68216666666667,5.68008166666667,5.64560666666667,5.63743166666667,5.73635666666667,5.66001666666667,5.75134666666667,5.72614666666667,5.78934166666667,5.75338666666667,5.86405666666667,5.62944666666667,5.72392666666667,5.63305166666667,5.73944666666667,5.46519666666667,5.78467166666667,5.54863166666667,5.90213166666667,5.66643666666667,5.65804166666667,5.66752666666667,5.64451166666667
Disasi,4.78868333333333,4.78868333333333,4.78868333333333,4.65877833333333,4.87094833333333,5.02472333333333,4.63241833333333,4.74682833333333,4.34491833333333,4.13031333333333,4.21906833333333,4.43997333333333,4.33723833333333,4.55888833333333,4.91197333333333,4.75905833333333,4.77576333333333,4.39304333333333,4.80805333333333,3.97152833333333,4.88833333333333,4.73496333333333,4.00037833333333,4.46588333333333,4.53149833333333,4.70916833333333,4.25563833333333,5.04976333333333,4.55780333333333,4.45717833333333,4.96933833333333,4.36103333333333,4.38927333333333,4.89267833333333,4.76391333333333,4.99650333333333
Højlund,1.470575,1.470575,1.470575,1.428385,1.403745,1.358305,1.49889,1.317725,1.58044,1.45775,1.482505,1.294625,1.36689,1.487625,1.316275,1.398085,1.461605,1.46532,1.37555,1.37779,1.481615,1.44085,1.310305,1.672905,1.277375,1.501695,1.382245,1.32704,1.32267,1.494215,1.442405,1.494285,1.44919,1.38917,1.34981,1.36824
Ward-Prowse,4.1767,4.1767,4.1767,4.1379,4.40542,4.59868,4.20297,4.75064,4.41694,4.83554,4.37569,4.40971,4.33272,4.58373,4.55202,4.66554,4.11786,4.40326,4.52176,4.92217,4.3199,4.42169,4.78494,4.65492,4.37129,4.54498,4.42095,4.17432,4.5167,4.50093,4.7367,4.33601,4.38837,4.21938,4.4406,3.92802
