ID,Name,Team,GW1,GW2,GW3,GW4,GW5,GW6,GW7,GW8,GW9,GW10,GW11,GW12,GW13,GW14,GW15,GW16,GW17,GW18
299,Henderson,LIV,,,,,,,,,,,,,,,,,,
300,Jones,LIV,,,0.5,0.5,,,,1,1,1,,,,,,,,
301,Kelleher,LIV,,,,,,,,,,,,,,,,,,
302,Konaté,LIV,,,,0.5,1,,,,,,,,,,,,,
303,Luis Díaz,LIV,,,,,,,,,,,,,,,,,,
304,Mac Allister,LIV,,,1,,,,,,,,,,,,,,,
305,Matip,LIV,,,,,,,,,,,,,,,,,,
306,Phillips,LIV,,,,,,,,,,,,,,,,,,
307,Robertson,LIV,,,,,,,,,0.5,1,,,,,,,,
308,Salah,LIV,,,,,,,,,,,,,,,,,,
309,Szoboszlai,LIV,,,,,,,,,,,,,,,,,,
310,Thiago,LIV,,,,1,1,1,1,1,1,1,,,,,,,,
311,Tsimikas,LIV,,,,,,,,,,,,,,,,,,
312,Van den Berg,LIV,,,,,,,,,,,,,,,,,,
313,Virgil,LIV,,,,1,1,,,,,,,,,,,,,
314,Adebayo,LUT,,,,,,,,,,,,,,,,,,
315,Andersen,LUT,,,,,,,,,0.5,1,,,,,,,,
316,Bell,LUT,,,,,,,,,1,1,,,,,,,,
317,Berry,LUT,,,,,,,,,,,,,,,,,,
318,Burke,LUT,1,1,1,,,,,,,1,,,,,,,,
319,Campbell,LUT,,,,,,,,,,,,,,,,,,
320,Clark,LUT,0.5,1,1,1,1,1,1,1,1,1,,,,,,,,
321,Doughty,LUT,,,,,0.5,,,,,,,,,,,,,
322,Freeman,LUT,,,,,,,,,,,,,,,,,,
323,Macey,LUT,,,,,,,,,,,,,,,,,,
324,McAtee,LUT,,,,,,,,,,,,,,,,,,
325,Mendes,LUT,,,,,,,,,,,,,,,,,,
326,Morris,LUT,,,,,,,,,,,,,,,,,,
327,Muskwe,LUT,,,,,,,,,,,,,,,,,,
328,Ogbene,LUT,,,,,,,,,,,,,,,,,,
329,Onyedinma,LUT,,,,,,,,,,,,,,,,,,
330,Osho,LUT,1,1,1,1,1,1,1,1,1,,,,,,,,,
331,Pepple,LUT,,,,,,,,,,,,,,,,,,
332,Pereira,LUT,,,,,,,,,,,,,,,,,,
333,Potts,LUT,,,1,1,1,1,1,1,1,1,,,,,,,,
334,Rea,LUT,,,,,,,,,,,,,,,,,,
335,Shea,LUT,,,,,,,,,,,,,,,,,,
336,Taylor,LUT,,,,,,,,,,,,,,,,,,
337,Thorpe,LUT,,,,,,,,,,,,,,,,,,
338,Walton,LUT,,,,,,,,,,,,,,,,,,
339,Watson,LUT,,,,,,,,,,,,,,,,,,
340,Woodrow,LUT,,,,,,,,,,,,,,,,,,
341,Akanji,MCI,,,,1,,,,,,1,,,,,,,,
342,Aké,MCI,0.5,,,,,,,,,,,,,,,,,
343,J.Alvarez,MCI,,,,,,,,,,,,,,,,,,
344,Bernardo,MCI,,,0.5,,,,1,1,,,,,,,,,,
345,Bobb,MCI,,,,,,,,,,,,,,,,,,
346,Cancelo,MCI,,,,,,,,,,,,,,,,,,
347,Carson,MCI,,,,,,,,,,,,,,,,,,
348,Charles,MCI,,,,,,,,,,,,,,,,,,
349,De Bruyne,MCI,,1,1,1,1,1,1,1,1,1,,,,,,,,
350,Rúben,MCI,,,,,,,,,,,,,,,,,,
351,Doyle,WOL,,,,,0.5,,1,,,,,,,,,,,
352,Ederson M.,MCI,,,,,,,,,,,,,,,,,,
353,Foden,MCI,,,,,,,,,,,,,,,,,,
354,Grealish,MCI,,,,,0.5,1,,,,,,,,,,,,
355,Haaland,MCI,,,,,,,,,,,,,,,,,,
356,Kovačić,MCI,,,,,,1,1,,,,,,,,,,,
357,Laporte,MCI,,,,,,,,,,,,,,,,,,
358,R.Lewis,MCI,,,,,,,,,,,,,,,,,,
359,Mahrez,MCI,,,,,,,,,,,,,,,,,,
360,McAtee,SHU,,,,,,,,,,,,,,,,,,
361,Ortega Moreno,MCI,,,,,,,,,,,,,,,,,,
362,Palmer,CHE,,,,,,,,,0.5,,,,,,,,,
363,Perrone,MCI,,,,,,,,,,,,,,,,,,
364,Phillips,MCI,,,,,,,,,,,,,,,,,,
365,Rodrigo,MCI,,,,,,,1,1,,,,,,,,,,
366,Sergio Gómez,MCI,,,,,,,,,,,,,,,,,,
367,Steffen,MCI,,,,,,,,,,,,,,,,,,
368,Stones,MCI,,0.5,1,1,0.5,1,1,1,,,,,,,,,,
